company,description,genre,imageUrl,metascore,otherPlatform,platform,players,release,title,trailerUrl,userRatesCnt
"
                                                        SCEA
                                                    ","Bloodborne is an action RPG in which you hunt for answers in the ancient city of Yharnam, now cursed with a strange endemic illness spreading through the streets like a disease. Peril, death and madness infest this dark world, and you're tasked with uncovering its darkest secrets which will be necessary for you to survive. Armed with a singular arsenal of weaponry, including guns and saw cleavers, you'll require wits, strategy and reflexes to dispatch the agile and intelligent enemies that guard the city's underbelly. You will utility holy chalices to access an array of vast underground ruins, chock full of traps, beasts, and rewards, to explore and conquer on your own or with other people.","Fantasy,Role-Playing,Action Adventure,General,Action RPG,",https://static.metacritic.com/images/products/games/5/d31120073f909d2c034c09f91e7a5073-98.jpg,92,,"
                                                        PlayStation 4
                                                    ",Up to 5 ,"Mar 24, 2015",Bloodborne,https://static-gamespotvideo.cbsistatic.com/vr/2014/08/12/Trailer_Bloodborne_GAMEPLAYGC_20140812_4000.mp4,10192 Ratings
"
                                                        tobyfox
                                                    ","Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever.","Role-Playing,Japanese-Style,",https://static.metacritic.com/images/products/games/1/385b89f553f016616c5365cdc0f9b6f7-98.jpg,92,"PC,PlayStation Vita,Switch,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Aug 15, 2017",Undertale,https://static-gamespotvideo.cbsistatic.com/vr/2017/06/13/E3_Sony_Trailer_Undertale_06122017_4000.mp4,739 Ratings
"
                                                        Warner Bros. Interactive Entertainment
                                                    ","With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders,  breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format. Also known as ""The Witcher III: Wild Hunt""","Action RPG,Role-Playing,Action RPG,",https://static.metacritic.com/images/products/games/2/425471cad15e750c9d5c3c50e9604e38-98.jpg,92,"PC,Xbox One,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"May 19, 2015",The Witcher 3: Wild Hunt,https://static-gamespotvideo.cbsistatic.com/vr/2015/04/10/Trailer_Witcher3_Gameplay_20150410_4000.mp4,15390 Ratings
"
                                                        Larian Studios Games
                                                    ","Set a thousand years after the first game, Divinity: Original Sin II presents a darker, more grounded narrative and expands on the tactical combat system of its award-winning predecessor. In Divinity: Original Sin, you were on a quest for the forbidden Source magic. Now, you yourself are a Sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching Void. The Divine is dead and the Void is everywhere. Sourcerers are blamed and the Divine Order is leading the charge against the threat: you. Captured and sent to Fort Joy, you will be ""cured"" of your powers -- no matter the cost. But the Order has secrets of its own that may cast doubt on its so-called holy mission. As you escape from Fort Joy, you realize that if the world remains godless, it will be consumed by the Void.","Role-Playing,Western-Style,",https://static.metacritic.com/images/products/games/2/9a871bea6579f599afb60a8843ff7f52-98.jpg,92,"PC,Switch,Xbox One,","
                                                        PlayStation 4
                                                    ",Up to 4 ,"Aug 31, 2018",Divinity: Original Sin II - Definitive Edition,https://static-gamespotvideo.cbsistatic.com/vr/2018/07/06/gameplay_divinitysplitscreen_20180706_8000.mp4,375 Ratings
"
                                                        Cloudhead Games
                                                    ",Pistol Whip is an unstoppable action-rhythm FPS. Journey through a cinematic bullet hell powered by a breakneck soundtrack to become the ultimate action hero legend.,"Action,Shooter,Light Gun,",https://static.metacritic.com/images/products/games/0/4bfabdfe73117cf5d4a10e5702190156-98.jpg,92,"PC,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Jul 30, 2020",Pistol Whip,,26 Ratings
"
                                                        Square Enix
                                                    ","Take part in the next saga of FINAL FANTASY® XIV Online with the next legendary expansion pack—SHADOWBRINGERS.","Role-Playing,Massively Multiplayer,",https://static.metacritic.com/images/products/games/8/1a8d9f7ab605ba769f6822604892c0af-98.jpg,91,"PC,","
                                                        PlayStation 4
                                                    ",,"Jul  2, 2019",Final Fantasy XIV: Shadowbringers,https://static-gamespotvideo.cbsistatic.com/vr/2019/02/04/trailer_ff14crossover_201924_4000.mp4,268 Ratings
"
                                                        Sony Interactive Entertainment
                                                    ","Tales speak of an ancient realm where Colossi roam the majestic landscape.  Bound to the land, these creatures hold a key to a mystical power of revival – a power you must obtain to bring a loved one back to life.","Action Adventure,General,",https://static.metacritic.com/images/products/games/8/b8fa7cf05ab8da759d053fcba9df9f75-98.jpg,91,"PlayStation 2,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Feb  6, 2018",Shadow of the Colossus,https://static-gamespotvideo.cbsistatic.com/vr/2019/05/06/shadowcolossus_ps2_081005_gp_9_1000.mp4,2009 Ratings
"
                                                        Warner Bros. Interactive Entertainment
                                                    ","This expansion pack is an old-school add on with 20 hours of new adventures, where players will travel to the land of Toussaint.","Role-Playing,Action RPG,",https://static.metacritic.com/images/products/games/0/9b1b2e62c39046ca8397075fb9ab5111-98.jpg,91,"PC,Xbox One,","
                                                        PlayStation 4
                                                    ",,"May 30, 2016",The Witcher 3: Wild Hunt - Blood and Wine,https://static-gamespotvideo.cbsistatic.com/vr/2015/05/14/Trailer_WitcherIII_NightCinematic_20150514_4000.mp4,1582 Ratings
"
                                                        Matt Makes Games Inc.
                                                    ","Help Madeline survive her journey to the top of Celeste Mountain in this super-tight, hand-crafted platformer from the creators of TowerFall.","Action,Platformer,2D,",https://static.metacritic.com/images/products/games/9/26adcc65f024318b4989f515662022b6-98.jpg,91,"iPhone/iPad,PC,Switch,Xbox One,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Jan 25, 2018",Celeste,https://static-gamespotvideo.cbsistatic.com/vr/2018/01/24/Gameplay_CelesteFirstNine_01242018_8000.mp4,304 Ratings
"
                                                        PLAYDEAD
                                                    ","Hunted and alone, a boy finds himself drawn into the center of a dark project. The second game from Limbo developer Playdead.","Action,Platformer,2D,",https://static.metacritic.com/images/products/games/6/c581ae173ec05ec8990c05374f7b117d-98.jpg,91,"iPhone/iPad,PC,Switch,Xbox One,","
                                                        PlayStation 4
                                                    ",,"Aug 23, 2016",INSIDE,https://static-gamespotvideo.cbsistatic.com/vr/2018/06/28/Trailer_Inside_Launch_20180628_4000.mp4,765 Ratings
"
                                                        Square Enix
                                                    ","Humanity has been driven from the Earth by mechanical beings from another world. In a final effort to take back the planet, the human resistance sends a force of android soldiers to destroy the invaders. Now, a war between machines and androids rages on... A war that could soon unveil a long-forgotten truth of the world.","Role-Playing,Action RPG,",https://static.metacritic.com/images/products/games/5/2ac66c0e4df312700c6744ce932d98dc-98.jpg,91,"PC,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Feb 26, 2019",NieR: Automata - Game of the YoRHa Edition,https://static-gamespotvideo.cbsistatic.com/vr/2019/02/26/Trailer_nier_2019226_4000.mp4,436 Ratings
"
                                                        Capcom
                                                    ","In Resident Evil 2, the classic action, tense exploration, and puzzle solving gameplay that defined the Resident Evil series returns. Players join rookie police officer Leon Kennedy and college student Claire Redfield, who are thrust together by a disastrous outbreak in Raccoon City that transformed its population into deadly zombies. Both Leon and Claire have their own separate playable campaigns, allowing players to see the story from both characters’ perspectives. The fate of these two fan favorite characters is in players hands as they work together to survive and get to the bottom of what is behind the terrifying attack on the city. Will they make it out alive?","Action Adventure,Survival,",https://static.metacritic.com/images/products/games/6/fb1f200c3315a838e3ae1aa4f1f77045-98.jpg,91,"PC,Xbox One,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Jan 25, 2019",Resident Evil 2,https://static-gamespotvideo.cbsistatic.com/vr/2019/02/20/Trailer_PUBGMobile_SurviveTilDawn_20190220_4000.mp4,3375 Ratings
"
                                                        SCEA
                                                    ","The pioneers that brought you the PLAYSTATION Network title flOw are back with another concept that challenges traditional gaming conventions. Flower expands the team's tradition of delivering simple gameplay, accessible controls and a medium to explore emotional chords uncommon in video games. In Flower, the surrounding environment, most often pushed to the background in games, is pulled to the forefront and becomes the primary ""character."" The player fades from an external and stressful world in the opening of this fresh and genuine game only for PS3, and journeys through beautifully vivid landscapes, changing the his surroundings and exploring nature along the way.","General,Miscellaneous,General,",https://static.metacritic.com/images/products/games/0/8d46b88cfce157badeff5d905341985c-98.jpg,91,"iPhone/iPad,PC,PlayStation 3,PlayStation Vita,","
                                                        PlayStation 4
                                                    ",1 Player,"Nov 15, 2013",flower,https://static-gamespotvideo.cbsistatic.com/vr/2013/10/16/Trailer_SantaMonicaStudios_DigitalGamesPS4_20131016_4000.mp4,711 Ratings
"
                                                        Blizzard Entertainment
                                                    ","PlayStation 4 players can now experience the full adventure of Blizzard’s epic action RPG, Diablo III, and the upcoming expansion, Reaper of Souls all from the comfort of their couch in Diablo III: Ultimate Evil Edition! Take on the role of one of six powerful character class Barbarian, Demon Hunter, Monk, Witch Doctor, Wizard, or the all-new Crusader and embark on a dark journey through Acts I-V to save the world of Sanctuary from ancient and sinister forces. With the new DUALSHOCK 4 wireless controller and a custom-designed console interface, players will be outfitted with touch pad functionality and new social features as they engage in pulse-pounding combat with hordes of monsters and acquire items of incredible power.","Action RPG,Role-Playing,Action RPG,",https://static.metacritic.com/images/products/games/5/1092744fa790bc2fa0cd1a0cd59d201b-98.jpg,90,"PC,PlayStation 3,Xbox 360,Xbox One,","
                                                        PlayStation 4
                                                    ",Up to 4 ,"Aug 19, 2014",Diablo III: Ultimate Evil Edition,https://static-gamespotvideo.cbsistatic.com/vr/2013/11/08/Trailer_DiabloIIIReaperofSoulsOpeningCinematic_20131108_4000.mp4,1398 Ratings
"
                                                        Blizzard Entertainment
                                                    ","Overwatch is a highly stylized team-based shooter set on earth in the near future. Every match is an intense multiplayer showdown pitting a diverse cast of soldiers, mercenaries, scientists, adventurers, and oddities against each other in an epic, globe-spanning conflict.","Action,Shooter,First-Person,Tactical,",https://static.metacritic.com/images/products/games/6/038c915512e6003710577e71905696aa-98.jpg,90,"PC,Switch,Xbox One,","
                                                        PlayStation 4
                                                    ",Up to 12 ,"May 23, 2016",Overwatch,https://static-gamespotvideo.cbsistatic.com/vr/2017/06/22/Trailer_overwatch_devupdate_2017622_4000.mp4,2110 Ratings
"
                                                        Yacht Club Games
                                                    ","Shovel Knight is a sweeping classic action adventure game with awesome gameplay, memorable characters, and an 8-bit retro aesthetic. It's a hot mashup of new and old! You play as the eponymous Shovel Knight, a small knight with a huge quest. Shovel Knight has come to this land with two goals: to defeat the evil Enchantress and quest for his lost beloved. He wields a Shovel Blade: a multipurpose weapon whose techniques have now been lost to the ages. Always honest and helpful, Shovel Knight is a shining example of the code of Shovelry: Slash Mercilessly and Dig Tirelessly!","Action,Platformer,2D,",https://static.metacritic.com/images/products/games/3/4dd79ee1b7200558c3c43c9a03f362c1-98.jpg,90,"3DS,PC,PlayStation 3,PlayStation Vita,Wii U,Xbox One,","
                                                        PlayStation 4
                                                    ",,"Apr 21, 2015",Shovel Knight,https://static-gamespotvideo.cbsistatic.com/vr/2015/08/25/Trailer_ShovelKnight_PlagueofShadows_20150825_4000.mp4,418 Ratings
"
                                                        Ubisoft
                                                    ","There are several differences and new features in this PS4 version. In this version the textures of the game are more compressed, so you can see that the game’s graphics are clearer and more detailed than before. You will also see that there is no loading time when you enter or exit a level, which makes the navigation even faster and more enjoyable. Ubisoft has also integrated a new Camera Mode on PS4. By pressing the touchpad of the PS4 joystick, you pause the game and enter this mode, and by moving your fingers on the touchpad, you zoom in and out on the image and drag the image frame; and finally, by pressing the Share button, you can take a photo and share it with everyone. This Camera Mode is a great way to observe in detail all the characters and settings of the game, and a great way of expression to create wacky images with the elements found in the game. On PS4, you can also use the touchpad to scrape the famous Lucky Tickets, then you will really feel like you’re scraping lottery tickets (with the sound of scraping straight from the PS4 joystick). Finally, in this PS4 version, you’ll also find new playable heroes: Assassin Ray (a character inspired by Edward Kenway, the hero of Assassin’s Creed IV: Black Flag), Funky Ray (a delusional character that you can unlock by using Uplay points), and Champion Ray (a character who will be offered to the best players of the community and those who live in this community; this character correspond to the new VIP status, visible in the rankings of online challenges). [Playstation Blog]","Platformer,2D,Action,Platformer,2D,",https://static.metacritic.com/images/products/games/8/0d1b9de3d1d0c1413aa5170cbd0a9d39-98.jpg,90,"PC,PlayStation 3,PlayStation Vita,Wii U,Xbox 360,Xbox One,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Feb 18, 2014",Rayman Legends,https://static-gamespotvideo.cbsistatic.com/vr/gsc/2013/05/169_raymanlegends_mariachimadness_multi_ot_4000.mp4,870 Ratings
"
                                                        Polytron Corp.
                                                    ",Gomez is a 2D man on a voyage of discovery into the mysterious 3rd dimension. Change your perspective and look at the world in a different way.,"Action,Platformer,Platformer,2D,2D,",https://static.metacritic.com/images/products/games/8/018c842f7529a75fa3d579f37abf3b71-98.jpg,90,"iPhone/iPad,PC,PlayStation 3,PlayStation Vita,Xbox 360,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Mar 25, 2014",Fez,https://static-gamespotvideo.cbsistatic.com/vr/gsc/2012/03/169_fez_long_trailer_ot_x360_030812_2800.mp4,546 Ratings
"
                                                        Capcom
                                                    ","In Monster Hunter: World you assume the role of a hunter venturing to a new continent where you track down and slay ferocious beasts in heart-pounding battles. This new land and its diverse inhabitants play a critical role in each quest as you strategically use the surrounding environment including terrain, vegetation and wildlife to your advantage in battle or become hindered by the hazards they present. As a hunter, you must use your cunning and expertise to track and maneuver your targets throughout the intense, evolving battles. [Capcom]","Role-Playing,Action RPG,",https://static.metacritic.com/images/products/games/7/0245d66dc92ae7aaf60092cba62f1e7b-98.jpg,90,"PC,Xbox One,","
                                                        PlayStation 4
                                                    ",Up to 4 ,"Jan 26, 2018",Monster Hunter: World,https://static-gamespotvideo.cbsistatic.com/vr/2018/01/12/Trailer_MHW_Coral_20180111_8000.mp4,1702 Ratings
"
                                                        Telltale Games
                                                    ","In the final episode of the season, all hell is breaking loose. Jack is now in control of Helios' systems, and he is ready to reclaim his rightful place as king of Hyperion - with or without you. It's a mad dash to get out of the chaotic space station alive, as everyone scrambles to grab the final Gortys piece and high tail it back to Pandora. Can you guide our motley crew through perilous corporate dangers in hopes of getting some copious alien riches? Loyalties will be tested, secrets will be revealed, and explosions will be in large supply in this final chapter of Tales From The Borderlands.","Adventure,General,",https://static.metacritic.com/images/products/games/98w-game.jpg,90,"iPhone/iPad,PC,PlayStation 3,Xbox 360,Xbox One,","
                                                        PlayStation 4
                                                    ",,"Oct 20, 2015",Tales From The Borderlands: Episode 5 - The Vault of the Traveler,https://static-gamespotvideo.cbsistatic.com/vr/2015/08/17/Trailer_TalesfromtheBorderlandsEpisode4_EscapePlanBravo_20150817_4000.mp4,179 Ratings
"
                                                        Warner Bros. Interactive Entertainment
                                                    ","Hearts of Stone features over ten hours of new adventures and introduces new characters, powerful monsters, unique romance, and an entirely new storyline shaped by gamer choices. The expansion also introduces a new system of Runewords that significantly affects gameplay. Each Runeword impacts a different aspect of in-game mechanics and allows the players to experiment with various strategies and tactics. [CD Projekt]","Role-Playing,Action RPG,",https://static.metacritic.com/images/products/games/7/6a8d43be84e5a8f4ae645613a2756f60-98.jpg,90,"PC,Xbox One,","
                                                        PlayStation 4
                                                    ",,"Oct 12, 2015",The Witcher 3: Wild Hunt - Hearts of Stone,https://static-gamespotvideo.cbsistatic.com/vr/2015/05/14/Trailer_WitcherIII_NightCinematic_20150514_4000.mp4,1664 Ratings
"
                                                        Activision
                                                    ","Your death won’t come easily. Enter the world of late 1500s Sengoku Japan; a brutal, bloody period of constant life-and-death conflict. As tensions rise, a compelling new story unfolds amongst the chaos. Introducing Sekiro: Shadows Die Twice, a dark and twisted new gameplay experience developed by the renowned team at FromSoftware and published by Activision. Directed by Hidetaka Miyazaki, Sekiro: Shadows Die Twice is a third-person, action-adventure game with RPG elements. The single-player game puts players in the protagonist role of a hard-hearted warrior whose mission is to rescue his master, a young lord, and exact revenge on his arch nemesis. As “Sekiro,” or the “one-armed wolf,” players discover the many ways to strategically approach combat and engage enemies. [Activision]","Action Adventure,General,",https://static.metacritic.com/images/products/games/6/a03dc14041cf90fe791985271f5e059b-98.jpg,90,"PC,Xbox One,","
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Mar 22, 2019",Sekiro: Shadows Die Twice,https://static-gamespotvideo.cbsistatic.com/vr/2019/03/27/feature_HeadlessBossTipsGuide_8000.mp4,3127 Ratings
"
                                                        JapanStudio
                                                    ","Astro Bot Rescue Mission is a platformer, developed exclusively for use with PS VR. Take control of Astro the captain Bot and go on an epic VR rescue mission to save your fellow Bots who are dispersed all over space.","Action Adventure,General,",https://static.metacritic.com/images/products/games/4/70fd18c7d21daea37f03624d071d4db6-98.jpg,90,,"
                                                        PlayStation 4
                                                    ",No Online Multiplayer,"Oct  2, 2018",Astro Bot: Rescue Mission,https://static-gamespotvideo.cbsistatic.com/vr/2018/10/02/Trailer_AstroBot_Origins_20181002_4000.mp4,445 Ratings
"
                                                        Capcom
                                                    ","Monster Hunter World: Iceborne is the highly anticipated massive expansion to Monster Hunter: World, the best-selling Capcom title of all time with more than 12 million units shipped worldwide adding to the series total of more than 53 million units to date. This gargantuan follow-up rivals the gameplay volume from the original release and features a new icy setting, storyline, monsters, gameplay options, and more.","Role-Playing,Action RPG,",https://static.metacritic.com/images/products/games/98w-game.jpg,89,"PC,Xbox One,","
                                                        PlayStation 4
                                                    ",,"Sep  6, 2019",Monster Hunter: World - Iceborne,https://static-gamespotvideo.cbsistatic.com/vr/2019/08/20/trailer_monsterhunter_2019720_4000.mp4,289 Ratings
